"BGCI.GardenID","CountryCode","Institution","City","State","IHCODE","InstitutionType","Latitude","Longitude"
1,"KZ","Botanical Garden$$ Institute of Botany and Phytointroduction","Almaty","Null","AA","Botanic Garden",43.2757,76.9292
2,"US","Arnold Arboretum of Harvard University$$ The","Boston","Massachusetts","AAH","Botanic Garden",42.307705,-71.119909
3,"DK","University of Aarhus Botanical Institute","Aarhus","Null","AAU","Botanic Garden",56.1581,10.212
4,"AU","Botanic Gardens of Adelaide","Adelaide","South Australia","AD","Botanic Garden",-34.918446,138.611954
5,"NZ","Auckland Botanic Gardens","Auckland","Null","AUCK","Botanic Garden",-37.007387,174.904988
6,"CA","Devonian Botanic Garden","Edmonton","Alberta","ALTA","Botanic Garden",53.40844,-113.75736
7,"KZ","Altai Botanic Garden","Leninogorsk","Null","ALTG","Botanic Garden",50.3526,83.5102
8,"NL","Hortus Botanicus Amsterdam","AMSTERDAM","Null","AMD","Botanic Garden",52.3678,4.9177
9,"MX","Asociacion Mexicana de Orquideologia A.C.","Mexico City","Distrito Federal","AMO","Botanic Garden",19.427,-99.1275
10,"RU","Dendropark of the Technical University","Arkhangelsk","Null","ARK","Botanic Garden",64.5369,40.5655
11,"RU","Dendropark of the Northern Research Institute of Forestry","Arkhangelsk","Null","ARKH","Botanic Garden",64.5369,40.5655
12,"TM","Central Botanic Garden","Ashkhabad","Null","ASH","Botanic Garden",37.9509,58.3794
13,"UA","Dendropark of Ukraine Institute of Cattle Breeding","Askania Nova","Chaplin District","ASKN","Other",46.46015,33.8774
14,"GR","Julia & Alexander N. Diomides Botanic Garden","Athens","Null","ATHD","Botanic Garden",37.9894,23.7444
15,"GR","Botanic Garden of Athens University","Athens","Null","ATHU","Botanic Garden",37.9894,23.7444
16,"RU","Hortus Botanicus Kabardino-Balkar State Farm","Nalchik","Null","AUBSN","Botanic Garden",43.4869,43.6029
17,"NL","Hortus Botanicus Vrije Universiteit","Amsterdam","Null","AVU","Botanic Garden",52.3301,4.8434
18,"BE","The Royal Zoological Society of Antwerp","Antwerp","Belgium","AWH","Zoological Institution",51.2049,4.4141
19,"DE","Botanischer Garten und Botanisches Museum Berlin-Dahlem","Berlin","Berlin","B","Botanic Garden",52.45,13.3
20,"AR","Jardín Botánico NullCarlos ThaysNull","Buenos Aires","Buenos Aires","BAJ","Botanic Garden",-34.5828,-58.419
21,"AZ","Botanical Garden Komarov$$ Herbarium & Baku Botanical Institute","Baku","Null","BAK","Botanic Garden",40.3834,49.8932
22,"AZ","Azerbaijan National Academy of Sciences Mardakan Dendrary","baku","BAKU","BAKP","Botanic Garden",40.4841,50.1651
23,"GE","Batumi Botanical Garden","Batumi","Georgia","BATU","Botanic Garden",41.6517,41.6561
4941,"CA","Joan of Arc Garden","Quebec","Quebec","Null","Botanic Garden",46.80192,-71.22066
24,"UA","The State Dendrological Park NullAlexandriaNull of Ukrainian National Academy of Sciences","Belaja Tserkov","Null","BELA","Botanic Garden",49.81185,30.06715
25,"RU","Dendropark of I.V. Michurin","Berdsk","Null","BERD","Botanic Garden",54.7635,83.1034
26,"IT","Orto Botanico di Bergamo NullLorenzo RotaNull","Bergamo","Null","BERG","Botanic Garden",45.7013,9.6644
27,"CH","Botanischer Garten der Universitat Bern","Null","CH-3013 Bern","BERN","Botanic Garden",46.9479,7.4481
28,"US","Rae Selling Berry Seed Bank (formerly Berry Botanic Garden seed bank)","Portland","Oregon","BERR","Gene/Seed Bank",45.442464,-122.662008
29,"FR","Jardin Botanique de la Ville et de l'Universite de BESANCON","Besancon","Null","BESN","Botanic Garden",47.2412,6.0255
30,"NO","Arboretum and Botanic Garden$$ University of Bergen","Bergen","Null","BG","Botanic Garden",60.388,5.3318
31,"AM","Yerevan Botanic Garden","Yerevan","Null","BGAAS","Botanic Garden",40.1666,44.5166
32,"GB","Bath Botanical Gardens","Bath","Null","BHBG","Botanic Garden",51.387423,-2.37809
34,"GB","University of Birmingham Botanic Garden at Winterbourne","Birmingham","Null","BIRM","Botanic Garden",52.453445,-1.924838
35,"GE","Bakuriani Alpine Botanical Garden","Village Bakuriani","Null","Null","Botanic Garden",41.759508,43.521094
36,"ES","Jardí Botànic Marimurtra","Blanes","Null","BLAN","Botanic Garden",41.4036,2.4804
37,"GB","Birmingham Botanical Gardens and Glasshouses","Birmingham","West Midlands","BMBG","Botanic Garden",52.466492,-1.929637
38,"RU","Dendrogarden of the Siberian Res. Hort. Institute","Barnaul","Null","BNUL","Other",53.3563,83.7616
39,"ID","Center for Plant Conservation - Bogor Botanic Gardens","Bogor","Java","BO","Botanic Garden",-6.5959,106.79
40,"ID","Cibodas Botanic Gardens","Cianjur","west Java","BO(C)","Botanic Garden",-6.8648,107.6315
41,"ID","Purwodadi Botanic Garden","Pasuruan","East Java","BO(P)","Botanic Garden",-7.9392,112.9528
42,"DE","Botanischer Garten der Ruhr-Universität Bochum","Bochum","Null","BOCH","Botanic Garden",51.4451,7.258
43,"FR","Jardin Botanique de Bordeaux","Bordeaux","Null","BORD","Botanic Garden",44.846483,-0.563403
44,"BE","Botanic Garden Meise","Meise","Null","BR","Botanic Garden",50.9166,4.3166
45,"FR","Conservatoire Botanique National du Brest","Brest","Null","BRES","Botanic Garden",48.4081,-4.4995
46,"CH","Parco Botanico del Cantone Ticino$$","Brissago","Null","BRISS","Botanic Garden",46.1191,8.7115
47,"GB","University of Bristol Botanic Garden","Bristol","Null","BRIST","Botanic Garden",51.477419,-2.625977
48,"RU","The Botanical Garden and Arboretum","Bryansk","Null","BRYA","Botanic Garden",53.3106,34.3003
49,"IN","Experimental Botanical Gardens","Pune","Null","BSI","Botanic Garden",18.5204,73.8566
50,"HU","Dept. of Bot. & Soroksar Botanic Garden","Budapest","Null","BUSCR","Botanic Garden",47.4763,19.0224
51,"DK","Botanical Garden$$ Natural History Museum of Denmark","Copenhagen","Null","C","Botanic Garden",55.6833,12.5666
52,"AU","The Cairns Botanic Gardens","Cairns","Queensland","CAIR","Botanic Garden",-16.8989865,145.7477678
53,"IN","Acharya Jagadish Chandra Bose Indian Botanic Garden","Howrah","West Bengal","CAL","Botanic Garden",22.6507,88.2658
